gsm	title	group_raw	srx	group	srr
GSM8375942	A01	adenocarcinoma	SRX25192631	cancer	SRR29689537
GSM8375943	A02	adenocarcinoma	SRX25192632	cancer	SRR29689536
GSM8375944	A03	adenocarcinoma	SRX25192633	cancer	SRR29689535
GSM8375945	A04	adenocarcinoma	SRX25192634	cancer	SRR29689534
GSM8375946	A05	Barrett's Esophagus (BE)	SRX25192635	barretts	SRR29689533
GSM8375947	A06	Barrett's Esophagus (BE)	SRX25192636	barretts	SRR29689532
GSM8375948	A07	Barrett's Esophagus (BE)	SRX25192637	barretts	SRR29689531
GSM8375949	A08	Barrett's Esophagus (BE)	SRX25192638	barretts	SRR29689530
GSM8375950	A09	control	SRX25192639	control	SRR29689529
GSM8375951	A10	control	SRX25192640	control	SRR29689528
GSM8375952	A11	control	SRX25192641	control	SRR29689527
GSM8375953	A12	control	SRX25192642	control	SRR29689526
GSM8375954	B01	adenocarcinoma	SRX25192643	cancer	SRR29689525
GSM8375955	B02	adenocarcinoma	SRX25192644	cancer	SRR29689524
GSM8375956	B03	adenocarcinoma	SRX25192645	cancer	SRR29689523
GSM8375957	B04	adenocarcinoma	SRX25192646	cancer	SRR29689522
GSM8375958	B05	Barrett's Esophagus (BE)	SRX25192647	barretts	SRR29689521
GSM8375959	B06	Barrett's Esophagus (BE)	SRX25192648	barretts	SRR29689520
GSM8375960	B07	Barrett's Esophagus (BE)	SRX25192649	barretts	SRR29689519
GSM8375961	B08	Barrett's Esophagus (BE)	SRX25192650	barretts	SRR29689518
GSM8375962	B09	control	SRX25192651	control	SRR29689517
GSM8375963	B10	control	SRX25192652	control	SRR29689516
GSM8375964	B11	control	SRX25192653	control	SRR29689515
GSM8375965	B12	control	SRX25192654	control	SRR29689514
GSM8375966	C01	adenocarcinoma	SRX25192655	cancer	SRR29689513
GSM8375967	C02	adenocarcinoma	SRX25192656	cancer	SRR29689512
GSM8375968	C03	adenocarcinoma	SRX25192657	cancer	SRR29689511
GSM8375969	C04	adenocarcinoma	SRX25192658	cancer	SRR29689510
GSM8375970	C06	adenocarcinoma	SRX25192659	cancer	SRR29689509
GSM8375971	C07	adenocarcinoma	SRX25192660	cancer	SRR29689508
GSM8375972	C08	Barrett's Esophagus (BE)	SRX25192661	barretts	SRR29689507
GSM8375973	C09	control	SRX25192662	control	SRR29689506
GSM8375974	C10	control	SRX25192663	control	SRR29689505
GSM8375975	C11	control	SRX25192664	control	SRR29689504
GSM8375976	C12	control	SRX25192665	control	SRR29689503
GSM8375977	D01	adenocarcinoma	SRX25192666	cancer	SRR29689502
GSM8375978	D02	adenocarcinoma	SRX25192667	cancer	SRR29689501
GSM8375979	D03	adenocarcinoma	SRX25192668	cancer	SRR29689500
GSM8375980	D04	adenocarcinoma	SRX25192669	cancer	SRR29689499
GSM8375981	D05	adenocarcinoma	SRX25192670	cancer	SRR29689498
GSM8375982	D06	Barrett's Esophagus (BE)	SRX25192671	barretts	SRR29689497
GSM8375983	D07	Barrett's Esophagus (BE)	SRX25192672	barretts	SRR29689496
GSM8375984	D08	Barrett's Esophagus (BE)	SRX25192673	barretts	SRR29689495
GSM8375985	D09	control	SRX25192674	control	SRR29689494
GSM8375986	D10	control	SRX25192675	control	SRR29689493
GSM8375987	D11	control	SRX25192676	control	SRR29689492
GSM8375988	D12	control	SRX25192677	control	SRR29689491
